question,Intent_Number
get-job-title-stats-for Communications Analyst,27
get-job-title-stats-for Consultant,27
get-job-title-stats-for Counselor,27
get-job-title-stats-for Executive Producer,27
get-job-title-stats-for Financial Advisor,27
get-job-title-stats-for Legal Analyst,27
get-job-title-stats-for Legal Assistant,27
get-job-title-stats-for Litigation Paralegal,27
get-job-title-stats-for Marketing Analyst,27
get-job-title-stats-for Media Analyst,27
get-job-title-stats-for Paralegal,27
get-job-title-stats-for Paralegal/Legal Assistant,27
get-job-title-stats-for Production Assistant,27
get-job-title-stats-for Program Assistant,27
get-job-title-stats-for Social Media Intern,27
get-job-title-stats-for Software Developer,27
get-job-title-stats-for Trauma Research Assistant,27
get-job-title-stats-for Writer,27
HR Assistant,27
recruiters,27
volunterring,27
list-employers-for-job-title executive producer,28
list-employers-for-job-title legal analyst,28
list-employers-for-job-title Legal Assistant,28
list-employers-for-job-title litigation paralegal,28
list-employers-for-job-title Production Assistant,28
list-employers-for-job-title program assistant,28
list-employers-for-job-title software developer,28
list-employers-for-job-title Tax Associate,28
list-employers-for-job-title writer,28
list-howgotjob-for-job-title Internship,29
list-howgotjob-for-job-title litigation paralegal,29
list-howgotjob-for-job-title software developer,29
list-industries-for-job-title legal assistant,30
list-industries-for-job-title paralegal,30
list-industries-for-job-title Production Assistant,30
list-industries-for-job-title software developer,30
list-industries-for-job-title Tax Associate,30
list-locations-for-job-title executive producer,31
list-locations-for-job-title Legal Assistant,31
list-locations-for-job-title litigation paralegal,31
list-locations-for-job-title production assistant,31
list-locations-for-job-title Volunteer,31
list-locations-for-job-title writer,31
Locate students who have interned with the company previously,31
list-majors-for-job-title communication intern,32
list-majors-for-job-title communications analyst,32
list-majors-for-job-title executive producer,32
list-majors-for-job-title Internship,32
list-majors-for-job-title Internship,32
list-majors-for-job-title legal analyst,32
list-majors-for-job-title legal assistant,32
list-majors-for-job-title litigation paralegal,32
list-majors-for-job-title marketing analyst,32
list-majors-for-job-title media analyst,32
list-majors-for-job-title paralegal,32
list-majors-for-job-title production assistant,32
list-majors-for-job-title program assistant,32
list-majors-for-job-title social media intern,32
list-majors-for-job-title software developer,32
list-majors-for-job-title writer,32
get-average-salary-for-job-title counselor,33
get-average-salary-for-job-title financial advisor,33
get-average-salary-for-job-title Legal Analyst,33
get-average-salary-for-job-title legal assistant,33
get-average-salary-for-job-title litigation paralegal,33
get-average-salary-for-job-title paralegal,33
get-average-salary-for-job-title production assistant,33
get-average-salary-for-job-title program assistant,33
get-average-salary-for-job-title software developer,33
"get-employers-for-location New York City, NY",34
"get-employers-for-location New York, NY",34
"get-employers-for-location Washington, DC",34
career outcome English,35
career outcome History,35
career outcome Pre-med,35
get-summary-major-stats-for Accounting,35
get-summary-major-stats-for Art,35
get-summary-major-stats-for Artificial Intelligence,35
get-summary-major-stats-for Behavioral Economics,35
get-summary-major-stats-for Biochemical Engineering,35
get-summary-major-stats-for Biological Basis of Behavior,35
get-summary-major-stats-for Biology,35
get-summary-major-stats-for Biology,35
get-summary-major-stats-for Business Economics and Public Policy,35
get-summary-major-stats-for Chemical Engineering,35
get-summary-major-stats-for Chemical Engineering,35
get-summary-major-stats-for Cinema Studies,35
get-summary-major-stats-for Classical Culture,35
get-summary-major-stats-for Classical Studies,35
get-summary-major-stats-for Cognitive Science,35
get-summary-major-stats-for Communication,35
get-summary-major-stats-for Criminal Justice,35
get-summary-major-stats-for Criminology,35
get-summary-major-stats-for Ecology,35
get-summary-major-stats-for Economics,35
get-summary-major-stats-for Engineering,35
get-summary-major-stats-for English Education,35
get-summary-major-stats-for Finance,35
get-summary-major-stats-for General Business,35
get-summary-major-stats-for Health and Societies,35
get-summary-major-stats-for Health and Societies,35
get-summary-major-stats-for Health Policy and Management,35
get-summary-major-stats-for History,35
get-summary-major-stats-for Housing,35
get-summary-major-stats-for Human Resources Management,35
get-summary-major-stats-for Individualized Concentration,35
get-summary-major-stats-for International Affairs,35
get-summary-major-stats-for International Relations,35
get-summary-major-stats-for Latin American and Latino Studies,35
get-summary-major-stats-for Management,35
get-summary-major-stats-for Management,35
get-summary-major-stats-for Marketing,35
get-summary-major-stats-for Marketing,35
get-summary-major-stats-for Marketing and Communication,35
get-summary-major-stats-for Materials Science and Engineering,35
get-summary-major-stats-for Mathematics,35
get-summary-major-stats-for Neuroscience,35
get-summary-major-stats-for Nursing,35
get-summary-major-stats-for Nursing,35
get-summary-major-stats-for Philosophy,35
"get-summary-major-stats-for Philosophy, Politics and Economics",35
get-summary-major-stats-for Political Science,35
get-summary-major-stats-for Pre-health,35
get-summary-major-stats-for Psychology,35
get-summary-major-stats-for Public Relations,35
"get-summary-major-stats-for Science, Technology and Society",35
get-summary-major-stats-for Social Work,35
get-summary-major-stats-for Sociology,35
get-summary-major-stats-for Undeclared,35
get-summary-major-stats-for Urban Studies,35
get-summary-major-stats-for Visual Studies,35
psychology career outcome,35
psychology career outcomes,35
"Hello! I am a member of Boehringer Ingelheim's Talent Acquisition team working with a hiring manager in Athens, GA who has a couple of Quality Assurance openings. I informed the hiring manager I would check into potentially posting her openings on your career site. Can you provide information about cost, etc. for posting job openings on your alumni site?",36
list-employers-for-major Artificial Intelligence,36
list-employers-for-major Behavioral Economics,36
list-employers-for-major Biological Basis of Behavior,36
list-employers-for-major Biology,36
list-employers-for-major Cinema Studies,36
list-employers-for-major Classical Studies,36
list-employers-for-major Communication,36
list-employers-for-major Criminology,36
list-employers-for-major Dietetics,36
list-employers-for-major Engineering,36
list-employers-for-major Health and Societies,36
list-employers-for-major International Affairs,36
list-employers-for-major Marketing,36
list-employers-for-major Marketing,36
list-employers-for-major Mathematics,36
"list-employers-for-major Philosophy, Politics and Economics",36
list-employers-for-major Political Science,36
list-employers-for-major Psychology,36
list-employers-for-major Psychology,36
"list-employers-for-major Science, Technology and Society",36
list-employers-for-major Sociology,36
list-employers-for-major Visual Studies,36
Where can I find which employers hire visa dependent talent for Finance,36
which majors were hired for consulting,36
wHO HIRED ENGLISH MAJOR?,36
who hires english majors,36
who hires english majors,36
which company hired the most Management Information Systems majors?,37
get-grad-school-list-for-major Psychology,38
what grad schools did psychology students attend,38
what grad schools did psychology students go to,38
where did psychology students go to grad school,38
where do psychology students go to grad school,38
get-grad-school-count-for-major Ecology,39
get-grad-school-count-for-major English,39
get-grad-school-count-for-major Psychology,39
How many accounting majors went to grad schools last year,39
how many psychology major students went to grad school?,39
how many psychology students went to grad school,39
how many psychology students went to graduate school,39
get-grad-school-list-for-major Accounting,40
get-grad-school-list-for-major Ecology,40
What graduate schools do dietetics major go to,40
where did biology students went to grad school?,40
most-popular-grad-school-for Psychology,41
